InstitutionalRole	PrimaryDomain	OrgName	OrgType	CountryName	CountryISO	WDSOrg	WDSMembership	WDSOrgLat	WDSOrgLong
Advisor/Consultant	Demography	Duke University	Academia/Research	United States	USA			37.8083	-122.268
Advisor/Consultant	research data	Radboudumc	Academia/Research	Netherlands	NLD			37.8083	-122.268
Advisor/Consultant	Fisheries statistics and data management	FAO of the UN	Government/Public Services	France	FRA			48.68493	2.175414
Advisor/Consultant	Chemistry	U.S. Department of Energy - Office of Scientific and Technical Information	Government/Public Services	United States	USA			48.68493	2.175414
Advisor/Consultant	Clinical research data management	Leiden University Medical Center	Academia/Research	Netherlands	NLD			48.68493	2.175414
Advisor/Consultant	Environmental science	DEENK	Academia/Research	Hungary	HUN			48.68493	2.175414
Advisor/Consultant	Information management; ICTs; Smart cities	AmbientEase; UrbanitiesLab	IT Consultancy/Development	Canada	CAN			48.68493	2.175414
Advisor/Consultant	Breeding Information Management	International Rice Research Institute	Academia/Research	Finland	FIN			48.68493	2.175414
Advisor/Consultant	Open Access/RDM	Technische Universität Ilmenau	Academia/Research	Germany	DEU			48.68493	2.175414
Advisor/Consultant	Soil Science	UNCCD	Government/Public Services	Turkey	TUR			48.68493	2.175414
Advisor/Consultant	Policy	AAAS S&T Policy Fellow	Policy/Funding Agency	United States	USA			40.00385	116.3847
Advisor/Consultant	Spatial Data Infrastructure/Geospatial Information Management	Independent GeoInformation Consultant	IT Consultancy/Development	Canada	CAN			52.09003	5.122937
Advisor/Consultant	Analytics, Physics	Consultant	IT Consultancy/Development	France	FRA			52.09003	5.122937
Advisor/Consultant	STI Policy and Strategy	National Institute of Science Technology and Innovation, Seychelles	Government/Public Services	Germany	DEU			52.09003	5.122937
Advisor/Consultant	research law	Universitat Oberta de Catalunya	Academia/Research	Spain	ESP			52.09003	5.122937
Advisor/Consultant	health research funding	Academy of Finland	Policy/Funding Agency	Finland	FIN			52.09003	5.122937
Advisor/Consultant	Computer Science	Trust-IT	IT Consultancy/Development	Italy	ITA			52.09003	5.122937
Advisor/Consultant	IT/Libraries in Higher Education	ResearchRequests LLC	IT Consultancy/Development	United States	USA			52.09003	5.122937
Advisor/Consultant	ICT and pure sciences	Universitat Autònoma de Barcelona	Academia/Research	Spain	ESP			31.26336123	121.5740488
Advisor/Consultant	Life sciences	Universitat Autònoma de Barcelona	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	PRIVATE LAW	UNIVERSITAT AUTÒNOMA DE BARCELONA	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	Social Sciences and Humanities	Universitat Autònoma de Barcelona	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	Research IT	University of Wisconsin - Madison	Academia/Research	United States	USA			48.87081	2.296336
Advisor/Consultant	Library and Information Science	University of Hertfordshire	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	International Projects	Universitat Autònoma de Barcelona	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	Geographic & Statistical Information Systems for science, statistics & governance	Independent	Government/Public Services	France	FRA			48.87081	2.296336
Advisor/Consultant	Business Management / IT	BaseTIS	Small and Medium Enterprise	Spain	ESP			48.87081	2.296336
Advisor/Consultant	Technology Transfer	Barcelona Supercomputing Center (BSC)	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	H2020	Universitat de Barcelona	Academia/Research	Spain	ESP			48.87081	2.296336
Advisor/Consultant	Social Sciences/Educational Sciences	UNIVERSITAT DE BARCELONA	Academia/Research	Spain	ESP			52.08073	4.3455
Advisor/Consultant	Energy, Smart Cities, Open Innovation	Zabala Innovation Consulting	Small and Medium Enterprise	Spain	ESP			52.08073	4.3455
Advisor/Consultant	Legal advice	Barcelona city council	IT Consultancy/Development	Spain	ESP			52.08073	4.3455
Advisor/Consultant	Law	VHIR	Academia/Research	Spain	ESP			52.08073	4.3455
Advisor/Consultant	UX Researcher in health data sharing	Ideas for Change	Small and Medium Enterprise	Spain	ESP			52.08073	4.3455
Advisor/Consultant	Governance	JE CENTER FOR GOVERNANCE AND DEVELOPMENT STUDIES	Small and Medium Enterprise	Sweden	SWE			52.08073	4.3455
Advisor/Consultant	Health	Amphia Hospital - the Netherlands	Government/Public Services	Netherlands	NLD			52.08073	4.3455
Advisor/Consultant	Digital preservation	None	Academia/Research	Netherlands	NLD			52.08073	4.3455
Advisor/Consultant	E-infrastructures for Research; Digital Humanities; FAIR Data Management	BELSPO / BELNET	Academia/Research	Belgium	BEL			52.08073	4.3455
Advisor/Consultant	Project Management	Terradue	IT Consultancy/Development	Italy	ITA			52.08073	4.3455
Advisor/Consultant	Communications & Outreach	S. J. Renfrow, LLC	IT Consultancy/Development	United States	USA			52.08073	4.3455
Advisor/Consultant	GIS and remote sensing 	Bioversity International	Academia/Research	Italy	ITA			52.08073	4.3455
Advisor/Consultant	Law	UNIVERSIDAD SAN JORGE	Academia/Research	Spain	ESP			52.08073	4.3455
Advisor/Consultant	DATA PROTECTION	FUNDACION UNIVERSIDAD SAN JORGE	Other (please specify) - obligatory	Spain	ESP			52.08073	4.3455
Advisor/Consultant	Data Protection & Privacy Lawyer 	ICF Italian Compliance Forum 	Academia/Research	Italy	ITA			52.08073	4.3455
Advisor/Consultant	International trade	US Department of Commerce	Government/Public Services	United States	USA			52.08073	4.3455
Advisor/Consultant	Earth observation, remote sensing,  geographic information systems, marine mapping,  species distribution modelling	AquaBiota Solutions AB	Small and Medium Enterprise	Sweden	SWE			52.08073	4.3455
Advisor/Consultant	Linguistics	Istanbul University	Academia/Research	Turkey	TUR			52.08073	4.3455
Advisor/Consultant	Information Management	DPS, FAO of the UN 	Government/Public Services	Italy	ITA			52.08073	4.3455
Advisor/Consultant	Enterprise Information Management	TenForce bvba	IT Consultancy/Development	Belgium	BEL			52.08073	4.3455
Advisor/Consultant	Data Management Support	Australian National Data Service	Academia/Research	Australia	AUS			52.08073	4.3455
Advisor/Consultant	Economics	PricewaterhouseCoopers	Large Enterprise	New Zealand	NZL			52.08073	4.3455
Advisor/Consultant	Research Administration / Bibliometrics	BI Norwegian Business School	Academia/Research	Norway	NOR			52.08073	4.3455
Advisor/Consultant	Scholarly publishing	Independent	Other (please specify) - obligatory	United States	USA			52.08073	4.3455
Advisor/Consultant	Dissemination of data for research	DeIC - Danish e-Infrastructure Consortium	Academia/Research	Denmark	DNK			52.08073	4.3455
Advisor/Consultant	Media	Association of Freelance Journalists	Press and Media	Kenya	KEN			52.08073	4.3455
Advisor/Consultant	Data science	-	Large Enterprise	Greece	GRC			52.08073	4.3455
Advisor/Consultant	Software quality, software data, MSR	Castalia Solutions	IT Consultancy/Development	France	FRA			52.08073	4.3455
Advisor/Consultant	Information / Data science	Knowledge Motifs LLC	Small and Medium Enterprise	United States	USA			52.08073	4.3455
Advisor/Consultant	Open Data and Web Standards	Independent	IT Consultancy/Development	Spain	ESP			52.38152	9.720171
Advisor/Consultant	Archaeology	Cotsen Institute of Archaeology at UCLA	Academia/Research	United States	USA			52.38152	9.720171
Advisor/Consultant	Policy development	Devoteam	IT Consultancy/Development	Denmark	DNK			52.38152	9.720171
Advisor/Consultant	data management	SURFsara	IT Consultancy/Development	Netherlands	NLD			52.38152	9.720171
Advisor/Consultant	Open Access / Open Data / Research Data Management policy development	Independent	Other (please specify) - obligatory	United Kingdom	GBR			52.38152	9.720171
Advisor/Consultant	Privacy 	DPA Qc	IT Consultancy/Development	Canada	CAN			52.38152	9.720171
Advisor/Consultant	Library and Information Science	Canadian Institutes of Health Research 	Policy/Funding Agency	Canada	CAN			52.38152	9.720171
Advisor/Consultant	Financial	John	Academia/Research	United Kingdom	GBR			52.38152	9.720171
Advisor/Consultant	Data Science	National Library of Medicine	Government/Public Services	United States	USA			52.38152	9.720171
Advisor/Consultant	Research Data Management/Atmospheric Science	Virginia Tech	Academia/Research	United States	USA			52.38152	9.720171
Advisor/Consultant	IT Services for Research	Queen Mary, University of London	Academia/Research	United Kingdom	GBR			53.56729	9.941726
Advisor/Consultant	Information Technology	Independient consultant	IT Consultancy/Development	Spain	ESP			53.56729	9.941726
Advisor/Consultant	economics and business	Derilinx	IT Consultancy/Development	Ireland {Republic}	IRL			53.56729	9.941726
Advisor/Consultant	Knowledge transfer	Institut de la statistique du Québec (Canada)	Government/Public Services	Canada	CAN			53.56729	9.941726
Advisor/Consultant	Agricultural Insurance	Financière agricole du Québec  - Développement international	Other (please specify) - obligatory	Canada	CAN			53.56729	9.941726
Advisor/Consultant	Endocrinology and Metabolism	None	Other (please specify) - obligatory	United States	USA			53.56729	9.941726
Advisor/Consultant	Medical Statistics / Data Management	Imperial College London / Chelsea and Westminster Hospital NHS Trust	Academia/Research	United Kingdom	GBR			53.56729	9.941726
Advisor/Consultant	ICT	LifeWatch ERIC ICT e-Infra Team	Government/Public Services	Spain	ESP			53.56729	9.941726
Advisor/Consultant	Engineering and Management Consulting	Slalom	IT Consultancy/Development	United States	USA			53.56729	9.941726
Advisor/Consultant	Digital Lab Notebook	LabArchives, LLC.	Small and Medium Enterprise	United States	USA			53.56729	9.941726
Advisor/Consultant	Earth Observation	Institute for Environmental Analytics	Academia/Research	United Kingdom	GBR			53.56729	9.941726
Advisor/Consultant	Integration of science in policy	Agriculture and Agri-Food Canada	Government/Public Services	Canada	CAN			53.56729	9.941726
Advisor/Consultant	Research Infrastructure / Data Management	Norwegian Centre for Research Data	Academia/Research	Norway	NOR			53.56729	9.941726
Advisor/Consultant	Biology	University of Nebraska-Lincoln	Academia/Research	United States	USA			53.56729	9.941726
Advisor/Consultant	Macroeconomics/National Accounts	World Bank	Other (please specify) - obligatory	United States	USA			53.56729	9.941726
Advisor/Consultant	Research Methods, Statistics, Data Management	Statistics for Sustainable Development	Academia/Research	Tanzania	TZA			53.56729	9.941726
Advisor/Consultant	Research Service, Chemistry	Leipzig University	Academia/Research	Germany	DEU			53.56729	9.941726
Advisor/Consultant	Data Commercialisation	CustomerFusion	Large Enterprise	Australia	AUS			53.56729	9.941726
Advisor/Consultant	Financial Information -- Data Management	MRDM	Small and Medium Enterprise	United States	USA			53.56729	9.941726
Advisor/Consultant	Research Analyst	Blogging	IT Consultancy/Development	United Kingdom	GBR			53.56729	9.941726
Advisor/Consultant	Open Access for publications	University of Leicester	Academia/Research	United Kingdom	GBR			53.56729	9.941726
Advisor/Consultant	Knowledge Management and Innovation Systems 	Freelance	Other (please specify) - obligatory	Ethiopia	ETH			53.56729	9.941726
Advisor/Consultant	Biotech	Mediated Resolutions	Academia/Research	United States	USA			53.56729	9.941726
Advisor/Consultant	Publishing	Mark Robertson Consulting	Small and Medium Enterprise	Australia	AUS			53.34008	-6.25829
Advisor/Consultant	research data management, FAIR data	Nordic e-Infrastructure Collaboration	Government/Public Services	Norway	NOR			53.34008	-6.25829
Advisor/Consultant	Agriculture	Ministry of Agriculture and Rural development	Government/Public Services	Cameroon	CMR			53.34008	-6.25829
Advisor/Consultant	Biology, Library and Information Sciences	Johannes Gutenberrg-Universität Mainz	Academia/Research	Germany	DEU			53.34008	-6.25829
Advisor/Consultant	Events	cpb culturepartner Berlin	Small and Medium Enterprise	Germany	DEU			53.34008	-6.25829
Advisor/Consultant	Biomedical Informatics Metadata Analyst	Dana-Farber Cancer Institute	Academia/Research	United States	USA			53.34008	-6.25829
Advisor/Consultant	Research Data Management	Technical University of Denmark	Academia/Research	Denmark	DNK			53.34008	-6.25829
Advisor/Consultant	Linked information technologies	CLIR	Academia/Research	United States	USA			53.34008	-6.25829
Advisor/Consultant	Financial Services/Technology	Office of Financial Research, US Department of the Treasury	Government/Public Services	United States	USA			53.34008	-6.25829
Advisor/Consultant	Higher Education, Research Policy 	Wissenschaftsrat (German Council of Science and Humanities)	Government/Public Services	Germany	DEU			53.34008	-6.25829
Advisor/Consultant	Agronomy and Soil Science	Independent Consultant	Other (please specify) - obligatory	United States	USA			53.34008	-6.25829
Advisor/Consultant	Law	UiT The Arctic University of Norway	Academia/Research	Norway	NOR			53.34008	-6.25829
Advisor/Consultant	Privacy / Data protection	Utrecht University	Academia/Research	Netherlands	NLD			53.34008	-6.25829
Advisor/Consultant	Data Management	DataTailor Ltd	IT Consultancy/Development	United Kingdom	GBR			53.34008	-6.25829
Advisor/Consultant	environmental data	Consultant	Other (please specify) - obligatory	Australia	AUS			53.34008	-6.25829
Advisor/Consultant	Regulatory	IDRG	Small and Medium Enterprise	Germany	DEU			53.34008	-6.25829
Advisor/Consultant	Health Research	Canadian Institutes of Health Research	Policy/Funding Agency	Canada	CAN			52.39327	4.83732
Advisor/Consultant	Research Data Management	University of Oslo	Academia/Research	Norway	NOR			52.39327	4.83732
Advisor/Consultant	GIS	pGNOSIS	Small and Medium Enterprise	Nigeria	NGA			52.39327	4.83732
Advisor/Consultant	Life Science & IT	Technische Informationsbibliothek (TIB)	Academia/Research	Germany	DEU			52.39327	4.83732
Advisor/Consultant	Big Data	Alexander Innovation Zone S.A.	IT Consultancy/Development	Greece	GRC			52.39327	4.83732
Advisor/Consultant	Mass Communication	California Pacific Medical Center	Academia/Research	United States	USA			52.39327	4.83732
Advisor/Consultant	Digital data management, training, computational linguistics, metadata, archiving, legal issues	NSD - Norwegian Centre for Research Data	Government/Public Services	Norway	NOR			52.39327	4.83732
Advisor/Consultant	ORCID IDs 	Australian Access Federation	Academia/Research	Australia	AUS			52.39327	4.83732
Advisor/Consultant	Telecommunication Engineering & Jurist (civil right/copyright/media right/data protection right	Dr. Eike Wolf	IT Consultancy/Development	Austria	AUT			52.39327	4.83732
Advisor/Consultant	Open Science, Open Access, Research Data Management, Data Repositories, Metadata	Royal Danish Library | Copenhagen University Library	Academia/Research	Denmark	DNK			52.39327	4.83732
Advisor/Consultant	Research infrastructure	NSD - Norwegian Center for Research Data	Government/Public Services	Norway	NOR			52.39327	4.83732
Advisor/Consultant	Social Sciences / Media and communications 	GO FAIR International Support and Coordination Office 	Government/Public Services	Germany	DEU			52.39327	4.83732
Advisor/Consultant	Knowledge management	ATD	Small and Medium Enterprise	France	FRA			52.39327	4.83732
Advisor/Consultant	Archives/History	AARNet	IT Consultancy/Development	Australia	AUS			52.39327	4.83732
Advisor/Consultant	Funding Consultancy	Danube University Krems	Academia/Research	Austria	AUT			52.39327	4.83732
Advisor/Consultant	Open Science	Helmholtz Open Science Coordination Office	Academia/Research	Germany	DEU			52.39327	4.83732
Advisor/Consultant	Pediatrics	Bangladesh Institute of Child Health	Academia/Research	Bangladesh	BGD			52.39327	4.83732
Advisor/Consultant	Healthcare data governance - consumer perspective 	University of Minnesota Twin Cities 	IT Consultancy/Development	United States	USA			52.39327	4.83732
Advisor/Consultant	Earth Observation	ESA Esrin	Policy/Funding Agency	Italy	ITA			52.39327	4.83732
Advisor/Consultant	data privacy & blockchain	be-studys	Large Enterprise	France	FRA			52.39327	4.83732
Advisor/Consultant	Data Steward	Delft University of Technology	Academia/Research	Netherlands	NLD			52.39327	4.83732
Advisor/Consultant	Research Data Management 	TU Delft	Academia/Research	Netherlands	NLD			52.39327	4.83732
Advisor/Consultant	Statistics	Freelancer	IT Consultancy/Development	United Kingdom	GBR			52.39327	4.83732
Advisor/Consultant	Research 	Trust-IT Services	Small and Medium Enterprise	Spain	ESP			52.39327	4.83732
Advisor/Consultant	Strategy	Research Data Canada	Other (please specify) - obligatory	Canada	CAN			52.39327	4.83732
Advisor/Consultant	Management	EFMD	Academia/Research	Belgium	BEL			52.39327	4.83732
Advisor/Consultant	e-Infrastructures (ICT Infrastructures for Research and Education)	KIFU	Academia/Research	Hungary	HUN			52.39327	4.83732
Advisor/Consultant	Embeddes systems, microcontroller based systems, digital design	Budapest Univerity of Technology and Tconomics	Academia/Research	Hungary	HUN			52.39327	4.83732
Advisor/Consultant	Engineering and Technology/information engineering	BUDAPEST UNIVERSITY OF TECHNOLOGY AND ECONOMICS	IT Consultancy/Development	Hungary	HUN			52.39327	4.83732
Advisor/Consultant	Fisheries and Aquaculture	Ghana Aquaculture and Fish Network	Other (please specify) - obligatory	Ghana	GHA			52.39327	4.83732
Advisor/Consultant	Research policy	Weinreich Strategic Group	Government/Public Services	United States	USA			52.39327	4.83732
Advisor/Consultant	life sciences/ health care data management	one million solutions in health	Other (please specify) - obligatory	United States	USA			52.39327	4.83732
Advisor/Consultant	Research Data Managemet	University of Southern Denmark Library	Academia/Research	Denmark	DNK			52.39327	4.83732
Advisor/Consultant	Information Architecture	US Department of the Treasury, Office of Financial Research	Government/Public Services	United States	USA			52.39327	4.83732
Advisor/Consultant	ser	ser	Academia/Research	United States	USA			52.39327	4.83732
Advisor/Consultant	Economy	NEPAD	Academia/Research	Benin	BEN			52.39327	4.83732
Advisor/Consultant	Data management, education., data protection, privacy	NSD - Norwegian Centre for Research Data	Academia/Research	Norway	NOR			52.39327	4.83732
Advisor/Consultant	GIS	GRID-Geneva	Academia/Research	Switzerland	CHE			52.39327	4.83732
Advisor/Consultant	Digital forensics / forensic data mining	BKD, LLP	Small and Medium Enterprise	United States	USA			52.39327	4.83732
Advisor/Consultant	ICT	EFPC Ltd	Small and Medium Enterprise	Israel	ISR			52.39327	4.83732
Advisor/Consultant	GIS and Remote Sensing	Cal Poly State University San Luis Obispo, CA	Academia/Research	United States	USA			52.39327	4.83732
Advisor/Consultant	Information Management	Delft University of Technology	Academia/Research	Netherlands	NLD			52.39327	4.83732
Advisor/Consultant	Data Management	UMCG	Academia/Research	Netherlands	NLD			52.39327	4.83732
Advisor/Consultant	Digital Archiving	Self employed	IT Consultancy/Development	United States	USA			52.39327	4.83732
Advisor/Consultant	eResearch	eResearch Services	IT Consultancy/Development	Australia	AUS			52.39327	4.83732
Advisor/Consultant	Data Publication / Policy	Independent Consultancy, formerly Helmholtz Association / Alfred Wegener Institut	Academia/Research	Germany	DEU			52.39327	4.83732
Advisor/Consultant	Web standards	W3C	IT Consultancy/Development	United Kingdom	GBR			52.39327	4.83732
Advisor/Consultant	research	LUMC	Academia/Research	Netherlands	NLD			52.39327	4.83732
Advisor/Consultant	NULL	Wright Partner	Small and Medium Enterprise	New Zealand	NZL			35.87189	-78.6783
Advisor/Consultant	Biomedical image data	Glencoe Software	IT Consultancy/Development	United States	USA			35.87189	-78.6783
Advisor/Consultant	NULL	The Norwegian Directorate of e-Health	Government/Public Services	Norway	NOR			35.87189	-78.6783
Advisor/Consultant	Research Ethics	Universitetet i Sørøst-Norge	Academia/Research	Norway	NOR			55.70256	12.55954
Advisor/Consultant	NULL	Unit – The Norwegian Directorate for ICT and Joint Services in Higher Education and Research	Government/Public Services	Norway	NOR			55.70256	12.55954
Advisor/Consultant	NULL	OpenStreetMap Ghana	Other (please specify) - obligatory	Ghana	GHA			55.70256	12.55954
Advisor/Consultant	RDM and Digital Curation	University of the Western Cape	Academia/Research	South Africa	ZAF			55.70256	12.55954
Advisor/Consultant	Information System Security	8019444 Canada Inc	IT Consultancy/Development	Canada	CAN			55.70256	12.55954
Advisor/Consultant	NULL	Digital Curation Centre	Academia/Research	United Kingdom	GBR			55.70256	12.55954
Advisor/Consultant	Librarianship	Moedi wa Kitso	Academia/Research	Botswana	BWA			55.70256	12.55954
Advisor/Consultant	GIS and Remote Sensing	Cal Poly State University San Luis Obispo, CA	Academia/Research	United States	USA			55.70256	12.55954
Advisor/Consultant	Organizational Consulting	Crangle Law Office, Chtd	Other (please specify) - obligatory	United States	USA			55.70256	12.55954
Advisor/Consultant	openness	e-Maxwell & Associates	Academia/Research	United States	USA			55.70256	12.55954
Advisor/Consultant	Materials & Processess	ecoinnovations	Small and Medium Enterprise	Greece	GRC			55.70256	12.55954
Advisor/Consultant	Materials Science	ecoinnovations	Small and Medium Enterprise	Greece	GRC			55.70256	12.55954
Advisor/Consultant	NULL	Netwerk Digitaal Erfgoed	Government/Public Services	Netherlands	NLD			52.38321719	13.0658514
Advisor/Consultant	NULL	Clarivate 	Large Enterprise	Spain	ESP			52.38321719	13.0658514
Advisor/Consultant	NULL	Copenhagen Business School Library	Academia/Research	Denmark	DNK			52.38321719	13.0658514
Advisor/Consultant	NULL	PwC	IT Consultancy/Development	Belgium	BEL			52.38321719	13.0658514
Advisor/Consultant	NULL	Humboldt Univeristy Berlin	Academia/Research	Germany	DEU			52.38321719	13.0658514
Advisor/Consultant	Scientific Application Software	Simperler Consulting	Other (please specify) - obligatory	United Kingdom	GBR			52.38321719	13.0658514
Advisor/Consultant	NULL	Roskilde University Library	Academia/Research	Denmark	DNK			52.38321719	13.0658514
Advisor/Consultant	Data & Analytics	PwC	IT Consultancy/Development	Belgium	BEL			52.38321719	13.0658514
Advisor/Consultant	NULL	Aalto University	Academia/Research	Finland	FIN			39.91138	116.4535
Advisor/Consultant	NULL	HL7 Europe	Other (please specify) - obligatory	Italy	ITA			34.72425	-86.644
Advisor/Consultant	NULL	MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES	Government/Public Services	Brazil	BRA			39.01002	-76.8782
Advisor/Consultant	Computer science	NSD - Norwegian Centre for Rsearch Data	Government/Public Services	Norway	NOR			39.01002	-76.8782
Advisor/Consultant	Medieval History	Swiss Academy of Humanities and Social Sciences	Academia/Research	Switzerland	CHE			39.01002	-76.8782
Advisor/Consultant	Information Architecture	Bev Corwin, Consultant	IT Consultancy/Development	United States	USA			39.01002	-76.8782
Advisor/Consultant	Digital Preservation	Digitalpreservation.nl	Small and Medium Enterprise	Netherlands	NLD			45.64474	13.77396
Advisor/Consultant	NULL	PwC	IT Consultancy/Development	Belgium	BEL			45.64474	13.77396
Advisor/Consultant	NULL	Leibniz-Institut für Agrartechnik und Bioökonomie e.V. (ATB)	Academia/Research	Germany	DEU			42.27457	-83.7453
Advisor/Consultant	Strategic management 	Associates for Development Africa	Small and Medium Enterprise	Kenya	KEN			42.27457	-83.7453
Advisor/Consultant	Natural Sciences/Earth and related environmental sciences/Chemical sciences	Geo.X - The Research Network for Geosciences in Berlin and Potsdam 	Academia/Research	Germany	DEU			42.27457	-83.7453
Advisor/Consultant	NULL	Marcinko Enterprises	Small and Medium Enterprise	United States	USA			42.27457	-83.7453
Advisor/Consultant	NULL	IVADO	Policy/Funding Agency	Canada	CAN			42.27457	-83.7453
Advisor/Consultant	NULL	Freelancer	Academia/Research	United States	USA			42.27457	-83.7453
Advisor/Consultant	NULL	Australian Research Data Commons (ARDC)	Government/Public Services	Australia	AUS			42.27457	-83.7453
Advisor/Consultant	Social Scince Research Data Management training	GESIS - Leibniz Institute for the Social Sciences	Academia/Research	Germany	DEU			42.27457	-83.7453
Advisor/Consultant	NULL	Capital Meeting Planning	IT Consultancy/Development	United States	USA			42.27457	-83.7453
Advisor/Consultant	NULL	ZBW – Leibniz Information Centre for Economics, Hamburg	Academia/Research	Germany	DEU			42.27457	-83.7453
Advisor/Consultant	NULL	Copenhagen University Library	Academia/Research	Denmark	DNK			48.87452	2.347273
